Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Zetticci,791,Germany,Female,35,7,52436.2,1,1,0,161051.75,0
Bischof,705,Germany,Male,42,8,166685.92,2,1,1,55313.51,0
Hsiung,543,France,Female,31,4,138317.94,1,0,0,61843.73,0
Pritchard,709,France,Female,32,2,101609.01,2,0,0,109681.29,0
Ts'ai,714,Germany,Female,36,1,147187.84,2,1,1,447.73,0
Moore,499,Spain,Female,42,0,133463.1,1,1,1,14868.94,1
Ma,637,France,Male,40,2,136815.64,1,0,1,93165.34,0
Young,756,Germany,Male,36,2,145729.71,1,1,1,170041.95,0
Y?an,487,Spain,Male,33,8,158621.04,1,1,0,41365.85,0
Geoghegan,537,France,Female,45,7,58469.37,1,1,0,120892.96,1
Bianchi,717,Germany,Male,35,7,116114.93,2,1,1,172459.39,0
Chizuoke,555,Spain,Male,32,4,140273.47,2,1,1,54405.79,0
Bednall,535,France,Female,27,6,101641.14,2,0,1,49775.58,0
Nelson,655,Spain,Male,34,1,181110.13,1,1,1,49492.15,0
Bykov,620,Spain,Female,43,2,82729.49,2,1,0,20670.1,0
Kerr,554,Spain,Female,45,4,96399.31,2,1,1,193412.05,0
Ch'ang,576,Germany,Female,71,6,73070.18,1,1,1,193135.25,1
McNeil,756,France,Female,26,5,115654.47,2,0,1,154460.68,0
Henry,553,Spain,Male,38,1,117715.84,2,1,0,184544.59,0
Milanesi,676,Spain,Male,36,1,105683.63,1,1,0,113810.12,0
Chiu,850,France,Male,31,1,134208.25,2,1,0,106534.15,0
Bradshaw,828,France,Male,30,4,95872.86,2,0,0,161671.15,0
Woolnough,662,France,Male,74,6,111905.43,2,1,0,123583.85,0
Bateman,675,Spain,Male,66,5,145512.84,2,1,1,131970.86,0
Russell,705,France,Male,34,7,83116.68,1,1,0,2498.67,0
Yao,766,Spain,Male,41,0,136444.25,2,0,1,34283.23,0
Voronina,712,Spain,Female,30,6,129250,2,1,0,152417.97,0
Ferri,654,Spain,Male,40,5,169947.41,1,1,0,173617.09,0
Hs?,596,Spain,Female,76,9,156811.74,1,1,1,13455.43,0
Greco,700,France,Male,46,5,72541.48,1,1,0,98273.01,1
Davidson,476,Germany,Female,34,8,149363.12,1,0,1,197221.81,1
Nnachetam,588,Spain,Male,34,10,102773.15,2,1,0,79078.91,0
Chukwufumnanya,829,Spain,Male,50,7,141040.01,2,0,1,178458.86,0
Cheng,658,France,Male,29,3,70657.61,1,1,0,20207.02,0
Mott,632,France,Male,71,3,80262.66,1,1,1,27597.76,0
Watson,689,France,Male,22,4,153198.23,1,1,0,51980.25,1
Percy,477,Germany,Male,48,8,88815.56,2,1,1,157937.35,0
Simmons,718,Germany,Male,32,9,160139.59,2,1,1,27979.16,0
Carpenter,667,France,Male,27,7,128015.83,1,1,1,149402.59,0
Rueda,508,France,Male,31,8,127504.57,1,1,0,129803.08,0
Yin,756,Germany,Female,39,5,70291.02,2,1,1,109098.39,0
Trevisano,796,Spain,Male,32,5,101179.23,2,0,1,117832.88,0
Kay,657,France,Female,28,7,119657.53,2,0,1,5177.62,0
Chiemezie,850,Spain,Male,30,2,181804.34,1,1,1,5978.2,0
K?,716,France,Male,39,1,92877.33,2,1,1,76476.05,0
Nwankwo,725,France,Male,44,5,93911.3,1,1,1,117356.14,0
Pinto,698,France,Female,39,4,134249.7,2,0,1,47455.82,0
Pisano,487,Spain,Female,31,1,116313.57,2,1,0,158750.13,0
Duncan,831,Germany,Male,32,9,111060.05,1,1,0,194867.78,0
Feng,563,Spain,Male,57,6,161889.79,2,1,1,39297.48,0
Golibe,597,France,Male,41,4,121629.22,1,1,1,92090.36,0
Nworie,647,Spain,Female,29,2,141556.96,2,1,0,179032.68,0
McIntyre,762,Germany,Male,34,4,130015.24,2,1,0,68562.26,1
Mills,703,France,Male,50,8,160652.45,2,1,1,79314.1,0
Ginikanwa,673,Spain,Female,35,6,129944.39,2,1,0,98618.79,0
Wong,741,Germany,Male,38,4,108913.84,1,1,0,58440.43,0
Schroeder,541,France,Male,29,7,98218.04,1,0,0,86173.92,0
Yermakov,578,France,Female,35,2,137946.39,2,0,1,26389.92,0
Kruglov,684,Spain,Male,40,2,61319.63,1,1,1,115468.84,1
Lu,471,Spain,Female,28,5,144875.71,2,1,1,22356.97,0
Shaw,656,Spain,Female,41,6,155393.32,2,1,1,35230.61,0
Buccho,589,Spain,Female,46,10,115115.38,2,0,1,168369.37,0
Tsao,655,Spain,Male,37,1,98108.79,1,1,1,106040.97,0
Milne,685,Germany,Female,44,2,89118.26,1,1,0,145387.05,1
Okwudilichukwu,525,Spain,Male,33,5,137852.96,2,1,0,161002.29,0
Achebe,681,Germany,Male,38,6,216109.88,2,1,1,57517.71,0
Alexeeva,549,Germany,Male,54,5,125845.66,1,1,0,2619.64,1
Grant,650,Germany,Male,23,4,134729.99,2,1,0,69055.45,0
Niehaus,732,Spain,Male,54,0,123229.46,1,0,1,13404.4,0
Bergamaschi,747,Germany,Male,58,7,136623.19,1,1,1,190696.35,1
Johnston,754,Spain,Male,35,4,67563.31,2,1,1,9658.41,0
Komarova,559,France,Male,33,9,109578.04,2,1,0,110371.84,0
Bogolyubova,696,France,Male,44,8,134954.53,1,0,0,75562.47,0
Shih,673,Spain,Male,40,1,127415.85,1,1,1,3258.6,0
Horton,733,France,Male,51,10,110463.25,1,1,0,130189.53,0
Findlay,698,France,Male,38,2,119278.44,1,1,1,41595.3,0
Vinogradov,725,France,Male,39,4,149083.7,2,1,0,57643.55,0
Mason,525,Spain,Female,60,7,106250.72,2,0,1,168034.9,0
Anderson,524,France,Male,22,9,103138.17,2,1,0,74405.34,0
McCawley,625,France,Female,36,8,101090.27,2,0,0,198914.8,0
Obialo,548,Germany,Female,36,2,108377.75,2,1,1,140460.01,0
Marsden,694,Germany,Female,37,8,87271.41,2,1,0,182354.46,1
Nwachinemelu,619,Germany,Male,57,3,159458.53,1,1,1,72467.99,1
Seleznyov,605,Germany,Male,75,2,113811.85,1,0,1,186655.11,0
Zhdanov,524,France,Male,32,1,105663.56,1,0,0,187740.04,0
Henderson,649,Germany,Female,50,5,145382.61,1,1,1,87351.42,1
Chiawuotu,615,France,Male,30,8,98759.89,2,0,0,3183.15,0
Atkins,680,Germany,Female,48,8,150461.07,1,1,0,139558.6,1
Kao,648,France,Male,34,0,115915.53,1,1,1,167931.81,0
Onuchukwu,572,Spain,Male,31,5,109346.13,1,0,1,119996.95,0
P'eng,850,Spain,Male,44,7,91592.06,1,1,0,104240.77,1
Wang,627,Germany,Female,35,2,141806,1,1,1,172269.21,1
Shaw,663,Spain,Female,58,5,107915.94,1,0,1,74176.71,1
Dean,585,Germany,Male,50,2,139707.28,1,1,0,9439.31,1
Otutodilinna,754,France,Male,28,8,82407.51,2,1,1,52615.62,0
Otitodilichukwu,712,Germany,Male,53,6,134811.3,2,1,1,132702.64,0
Ricci,732,France,Male,36,7,119889.84,2,1,1,60830.24,0
Solomon,778,Germany,Female,29,7,120621.89,1,1,0,181221.09,0
Burns,691,France,Male,26,9,77065.9,1,1,0,153228,0
Rogers,582,Spain,Female,46,8,138668.18,1,1,0,44506.09,1
Manfrin,714,France,Male,34,10,128410.71,2,1,1,80234.14,0
Christian,720,France,Male,52,7,94521.17,1,1,1,14781.12,0
Yermakov,716,France,Male,31,8,128389.63,2,1,1,51503.51,0
Collins,618,France,Male,34,5,130334.35,1,1,1,151954.39,0
Cunningham,729,Germany,Male,39,6,128960.21,1,1,1,184977.2,1
Christie,724,Germany,Female,48,6,104783.81,2,1,1,80552.11,1
Poole,724,Germany,Female,33,9,98014.74,1,1,1,197148.24,0
Becker,767,Spain,Male,77,8,137794.18,1,1,1,190146.83,0
Cambage,702,France,Male,50,3,81556.89,2,0,0,94949.84,0
Siciliano,809,Spain,Male,80,8,97541.24,2,0,1,34164.05,0
Field,563,France,Male,35,3,173459.45,1,0,0,39546.32,0
Chou,537,Spain,Male,30,1,59893.85,1,1,1,96555.42,0
Graham,701,France,Male,29,2,132271.12,2,1,0,176943.59,0
Hall,641,Spain,Female,40,4,163856.76,1,1,1,51703.09,0
Hsu,420,Germany,Female,31,1,155739.76,2,1,1,9904.63,0
Fang,648,Spain,Female,31,5,50194.59,2,1,1,5199.02,0
Nolan,540,Germany,Female,42,9,37702.79,2,1,0,172572.64,0
Tomlinson,695,France,Male,49,9,140752.06,1,1,0,135841.35,0
Paling,655,Spain,Female,28,3,95984.21,2,0,1,76844.23,0
Pope,805,Germany,Female,33,3,138521.83,2,0,1,33330.89,0
Giordano,719,Spain,Male,37,10,76915.4,1,1,0,80408.59,0
Monds,781,Spain,Female,29,6,114035.39,1,0,0,112202.64,0
Mao,668,France,Male,42,3,127823.93,1,1,0,108139.23,0
Henderson,556,Germany,Male,42,0,79563.36,2,0,1,125435.47,1
Tsui,683,France,Male,38,7,122917.71,2,1,0,102665.92,0
Kambinachi,466,France,Male,40,4,80780.16,1,1,0,141210.18,1
Esposito,746,Germany,Male,34,6,93059.34,2,1,1,183494.87,0
Clark,668,France,Male,32,7,181768.32,2,1,1,777.37,0
Savage,575,Germany,Male,47,9,147527.03,2,1,1,63452.18,1
Tang,783,Germany,Female,42,2,153058.64,1,1,0,2150.22,0
Nnamutaezinwa,539,Germany,Female,38,8,127940.47,1,1,0,13123.41,0
Mitchell,700,France,Male,38,8,155994.15,1,1,0,1299.75,0
Chu,690,France,Male,33,5,105082.07,2,1,0,138017.68,0
Clayton,461,France,Male,51,9,117005.55,1,0,0,56767.67,1
Potter,706,Germany,Female,47,6,91187.9,1,1,1,140803.7,0
Fanucci,705,France,Female,50,4,125456.07,2,0,1,145159.26,0
Howell,678,Spain,Male,28,5,69385.17,1,1,1,54144.01,0
Conway,551,Spain,Male,76,2,84284.48,2,1,1,181718.73,0
Ahmed,747,Spain,Female,41,5,112572.39,2,1,0,194926.86,0
Marcus,779,Germany,Female,37,2,137937.95,1,1,1,6589.16,1
Kennedy,649,France,Male,33,2,136674.51,2,1,0,2010.98,0
Fanucci,697,Spain,Female,40,7,141359.37,2,0,1,116951.1,0
Esomchi,599,Germany,Male,36,3,137817.52,2,1,1,40318.33,0
Hassall,680,France,Male,31,1,125997.22,2,1,1,3148.2,0
Dickson,571,France,Female,35,1,120135.55,2,0,1,178512.52,0
Moen,646,France,Male,30,5,113693,1,1,1,12757.14,0
Campbell,806,Spain,Female,37,2,125265.61,2,0,1,75232.02,0
Baresi,554,France,Female,22,8,108166.09,2,0,1,142670.61,0
Ellis,635,Germany,Female,48,4,115777.23,2,1,0,191914.37,0
Houghton,591,Spain,Male,29,1,157120.86,1,1,1,196356.17,0
Barry,569,Germany,Male,25,9,151963.26,2,1,1,44381.06,0
Lombardo,645,Spain,Male,36,4,130622.34,2,1,0,43999.64,0
Lombardo,552,Germany,Male,38,10,69329.47,2,1,1,46562.02,0
Napolitano,574,Germany,Male,35,5,104149.66,1,1,1,15118.2,0
Ch'in,758,France,Male,26,4,106116.56,1,1,0,171552.02,0
Fang,695,Spain,Female,39,5,128829.25,2,0,0,102763.69,0
O'Meara,551,France,Male,42,1,129837.72,1,1,1,23399.58,0
Hardiman,680,Spain,Female,30,3,128551.36,1,1,0,160131.58,0
Archer,618,Germany,Male,41,8,154846.24,1,1,1,195775.48,0
Sinclair,575,France,Male,36,1,155931.11,1,0,1,94570.56,0
Kuo,609,Germany,Male,38,6,92244.83,2,0,1,171430.16,0
Rowley,616,Germany,Female,43,7,61172.04,1,0,1,115262.54,1
He,811,France,Male,30,6,137853,2,1,1,180591.32,0
Anenechukwu,615,Spain,Male,32,5,122549.64,1,1,1,56897.1,0
Burgess,811,Germany,Male,52,10,89728.86,1,0,0,146359.81,1
Chao,719,France,Male,69,3,104682.83,2,1,1,58320.06,0
Kirkland,727,France,Male,34,10,114084.6,2,1,1,198637.34,0
Lawrence,601,France,Male,29,9,158373.23,1,1,1,80393.27,0
Tsao,684,Germany,Female,26,2,132837.7,1,0,0,96885.19,0
Ts'ai,603,France,Male,43,5,145750.45,1,1,1,19483.35,0
Thomson,673,France,Male,51,8,126597.89,2,1,1,172200.91,0
Lucciano,709,Germany,Male,45,4,109676.52,1,1,1,11.58,1
Nnamdi,566,France,Male,34,3,101191.83,1,0,0,188135.69,0
Kuo,706,France,Male,35,5,139432.55,2,1,1,81718.37,0
Akabueze,726,Spain,Female,26,1,114756.14,1,1,1,19225.85,0
Chang,718,Spain,Male,40,9,87779.83,2,0,0,121537.91,0
Y?,714,Germany,Female,49,4,112666.67,1,1,0,7571.51,1
Wan,611,Spain,Male,34,4,81844.91,2,1,0,170950.58,0
Doherty,628,Germany,Male,40,5,126663.51,2,1,1,129107.97,0
Murray,718,Germany,Male,26,7,124525.52,1,0,0,51099.56,0
Nnaemeka,651,France,Male,53,7,89750.21,2,1,1,130132.41,0
Kenechi,499,France,Female,38,9,98365.33,2,0,1,183042.2,0
Boni,430,Germany,Female,38,8,125547.53,1,1,0,99377.27,0
Berry,631,Spain,Female,46,10,174894.53,2,1,1,129508.96,0
Genovesi,577,Germany,Female,43,3,126935.98,1,0,0,125140.72,1
Sal,464,Germany,Male,37,4,101506.66,1,0,0,143665.44,0
Toscani,592,Germany,Female,26,4,100762.64,2,1,0,132801.57,0
Davis,635,Germany,Male,53,8,109032.23,1,0,1,123646.57,1
Lindeman,679,Spain,Female,39,7,123938.6,1,0,1,6075.36,0
Ramsbotham,583,Spain,Female,40,4,133936.04,2,1,0,114093.73,0
Pirozzi,404,Germany,Female,54,4,92805.72,1,1,0,83715.66,1
Goddard,576,France,Male,32,7,120952.74,2,1,0,4660.91,0
Windsor,850,Germany,Female,25,8,96553.52,2,1,0,87834.24,0
Connely,755,France,Male,23,5,112290.22,2,1,1,62851.6,0
Hung,585,France,Male,42,2,122739.1,2,1,1,18657.77,0
Robinson,574,France,Male,34,1,125903.22,1,0,0,165626.6,0
Milne,742,Germany,Male,33,1,93816.7,1,1,1,51387.1,0
Y?,833,France,Female,28,4,115024.5,2,0,0,5278.78,0
Jackson,492,France,Male,35,4,132057.92,2,1,0,39519.53,0
Gray,793,France,Male,39,3,128744.04,1,0,0,83997.79,0
Hung,614,Germany,Female,39,8,94435.45,1,1,1,128049.34,1
Zito,786,Germany,Male,24,2,84438.57,2,1,1,125449.47,0
Becker,425,Spain,Female,39,5,106770.82,2,1,0,140941.47,0
Tsou,850,France,Male,31,3,109342.82,2,1,0,121866.87,0
Loggia,748,France,Male,66,8,123151.51,1,1,1,163331.65,0
P'an,449,Spain,Female,31,1,136294.97,1,0,0,82796.29,0
Craig,590,Spain,Male,22,7,152105.57,1,1,1,161253.08,0
Bennetts,733,France,Male,39,1,91536.93,2,1,1,141841.31,0
Lo,496,Spain,Male,29,2,108555.07,2,1,0,55389.59,0
Obiajulu,711,France,Male,52,5,139022.24,1,1,1,159808.95,0
Morrison,587,Spain,Female,34,1,120094.93,2,1,1,97932.68,0
Chibuzo,539,France,Male,39,3,134571.5,2,1,0,36692.17,0
Donaldson,562,Spain,Male,36,5,169023.33,1,0,1,182843.24,0
Findlay,606,France,Male,61,5,88736.44,2,0,1,8643.21,0
Rieke,717,Germany,Female,33,0,105355.81,1,1,1,81508.1,0
Edwards,643,France,Male,39,7,117992.59,2,1,1,170392.59,0
Nnonso,803,France,Male,31,9,97705.99,2,1,0,141300.53,0
Berry,579,Spain,Female,39,2,144272.07,2,1,0,158948.63,0
Mazzi,549,Germany,Female,37,1,101238.24,2,1,1,128499.94,0
Mackay,482,Germany,Female,48,2,49512.55,1,0,0,102640.52,1
Loggia,725,Germany,Male,40,8,103108.8,1,1,0,62027.9,0
Deleon,588,Germany,Male,41,6,47020.65,2,1,0,198766.61,0
Ch'in,605,France,Male,36,7,141356.47,1,1,0,190588.59,0
Nwebube,630,France,Male,26,7,73481.05,2,0,1,197001.15,0
Harris,737,France,Female,32,7,146587.3,2,0,1,189402.71,0
Trevisani,686,Germany,Female,43,5,113063.83,2,1,1,151903.6,0
Bianchi,660,Spain,Female,61,5,198546.1,1,1,1,158338.39,0
Jessop,607,France,Male,44,0,94684.27,2,1,1,81140.09,0
Wilson,850,Germany,Female,43,8,84587.9,2,1,0,54949.73,0
Gorbunova,666,Spain,Female,36,6,77919.78,2,1,0,176692.87,0
Bruce,683,Spain,Male,35,9,106134.46,1,0,0,82951.12,0
Lewis,654,Spain,Female,54,5,127655.22,2,0,1,47139.06,0
Yermakova,850,France,Female,37,9,135067.52,1,0,0,100101.06,0
Ross,709,Spain,Male,62,3,138076.47,2,1,1,82195.15,0
T'ien,494,France,Female,33,1,112281.7,1,0,1,90273.85,0
Loyau,695,Spain,Male,46,3,104784.23,1,1,1,56297.85,0
Allen,638,Germany,Male,37,2,94464.81,2,1,1,37294.88,0
Duffy,637,Germany,Male,51,1,161450.03,1,1,0,55266.96,1
Madison,797,France,Male,32,10,138778.15,1,0,1,125782.29,0
Chidumaga,787,Germany,Female,38,3,111167.7,1,1,1,28228.35,0
Boni,714,France,Male,35,3,108432.88,2,1,1,95623.28,0
Lettiere,546,Germany,Female,25,3,138008.06,1,1,0,131647.31,0
Boyle,674,Spain,Male,36,2,120727.97,2,1,1,182787.17,0
Wilhelm,637,Germany,Female,36,10,103960.38,2,1,1,96660.76,0
Lawson,652,Germany,Female,47,0,119009.57,2,1,1,38798.79,1
Y?,729,Germany,Male,29,5,109161.25,1,1,1,25548.47,0
Aldrich,727,Germany,Male,37,9,95452.89,1,1,1,34551.35,1
Booth,613,France,Male,44,3,92476.88,2,0,1,136491.72,0
Chigozie,762,France,Male,20,1,94901.09,1,1,1,85606.83,0
Harding,556,France,Male,38,2,131414.76,1,1,0,193214.05,0
Hill,840,Germany,Female,51,1,114940.67,1,0,1,36687.11,1
Ts'ao,831,France,Female,34,2,114347.85,2,0,0,165840.94,0
Iqbal,746,Spain,Male,30,1,103409.16,1,0,0,11710.4,1
Scott,773,Germany,Male,43,8,80242.37,2,1,1,35908.46,0
Obidimkpa,527,Germany,Female,30,6,131765.72,1,1,1,162267.91,0
Chinwendu,569,France,Male,35,10,118899.45,1,1,1,193793.78,0
Kung,739,Spain,Male,19,5,82453.96,1,1,0,193008.52,0
Morrison,598,Spain,Female,56,4,90408.16,1,1,1,44251.33,0
Milani,692,France,Male,27,1,119492.88,1,0,0,7900.46,0
Hs?,542,Spain,Male,35,2,131504.73,1,1,1,22314.55,0
Somerville,486,Spain,Male,27,7,56726.83,2,1,0,28823.04,0
Pottinger,648,Germany,Female,39,3,131078.42,2,0,1,57995.74,0
Lombardo,599,Spain,Male,34,2,103324.78,1,0,0,198030.24,0
Sung,674,Germany,Female,36,6,129398.01,1,1,0,182156.86,0
Romano,514,Germany,Female,45,3,117791.06,1,0,1,155407.21,1
Williamson,598,Germany,Male,32,9,151739.65,2,1,0,198894.42,0
Yin,691,France,Male,34,8,104339.56,2,1,0,91359.79,0
Johnson,742,Germany,Female,41,4,96643.32,1,0,1,73743.95,1
Fomin,730,Spain,Male,26,3,103154.66,1,1,0,34542.41,0
Chukwuemeka,626,France,Female,35,3,53299.96,1,0,0,80190.36,0
H?,850,Spain,Female,54,4,121580.42,1,1,0,66963.15,0
Ugorji,595,Germany,Female,44,4,91068.56,2,1,0,143952.24,1
Kuo,572,Germany,Male,39,4,139781.06,1,1,0,49373.97,1
Chin,426,France,Male,34,9,137649.47,2,1,0,107876.91,0
Piccio,546,France,Male,28,8,125013.72,1,1,0,159254.29,0
Chiemenam,758,Germany,Female,23,5,133889.35,1,1,0,102460.84,1
Yang,514,Spain,Male,30,7,106261.63,1,0,1,125010.24,0
Davidson,795,Germany,Male,38,7,120599.21,2,1,1,127068.92,0
Onyekaozulu,727,Germany,Female,18,2,125909.85,2,1,0,126172.11,0
McIntyre,664,Spain,Male,35,1,89079.41,1,0,1,169665.79,0
Forster,726,France,Male,37,2,211774.31,2,1,0,34743.98,0
Lord,730,Spain,Male,29,2,68079.8,2,1,0,14174.09,0
Andrews,555,France,Male,29,4,105229.53,1,1,1,47454.93,0
Riley,738,France,Female,39,1,120879.73,2,0,1,189430.86,0
Vidal,660,Spain,Female,36,0,140549.4,1,1,1,181449.51,0
Lavrentiev,738,France,Male,49,6,99282.63,1,1,0,123499.27,0
Vinogradova,598,Spain,Female,39,5,125961.74,2,1,1,83103.46,0
Muir,497,France,Male,34,2,83415.04,2,1,1,83087.13,0
Krylov,624,France,Male,44,3,147360,2,1,0,88407.51,0
Cameron,555,Spain,Female,24,2,120633.42,2,0,1,197866.55,0
Hsiung,585,France,Male,36,7,112930.28,2,1,0,94283.09,0
Reilly,686,Germany,Male,35,2,68067.24,2,0,1,86043.27,0
Lucciano,750,Spain,Female,36,6,102145.13,2,1,1,59816.41,0
Caldwell,463,Germany,Female,41,8,105102.5,2,1,0,70127.93,0
Peppin,715,Spain,Male,31,7,116309.01,1,1,1,149970.59,0
Mitchel,625,France,Female,51,7,134498.54,1,1,0,38867.46,1
